TransactionID,OrderID,CustomerID,TransactionDate,Amount,PaymentMethod,Status,Currency
TXN00000054,ORD0000062,CUST00325,2022-03-01 01:54:28,282.2,PayPal,Success,GBP
TXN00000055,ORD0001505,CUST00403,2023-08-26 20:04:08,1829.81,Debit Card,Success,GBP
TXN00000056,ORD0002301,CUST00245,2022-10-14 13:51:02,1857.8,Bank Transfer,Success,USD
TXN00000057,ORD0000798,CUST00020,2022-05-10 21:07:59,1368.44,PayPal,Success,GBP
TXN00000058,ORD0001761,CUST00080,2024-12-13 11:54:29,40.17,Credit Card,Refunded,USD
TXN00000059,ORD0001720,CUST00029,2022-04-15 16:52:05,1076.46,Bank Transfer,Success,GBP
TXN00000060,ORD0002246,CUST00473,2023-01-11 13:09:43,1260.29,Bank Transfer,Success,EUR
TXN00000061,ORD0000829,CUST00092,2023-11-09 05:20:34,1989.34,Bank Transfer,Success,GBP
TXN00000062,ORD0001206,CUST00007,2024-08-13 20:49:23,1992.15,Credit Card,Success,USD
TXN00000063,ORD0002270,CUST00177,2023-07-31 04:13:30,1715.93,Credit Card,Success,USD
TXN00000064,ORD0000577,CUST00041,2023-11-12 13:52:15,132.34,Debit Card,Success,GBP
TXN00000065,ORD0001548,CUST00327,2022-08-10 18:25:49,1906.79,PayPal,Success,GBP
TXN00000066,ORD0002189,CUST00367,2023-11-18 15:50:32,1227.26,Debit Card,Success,GBP
TXN00000067,ORD0002325,CUST00213,2024-07-16 09:49:41,1602.77,Credit Card,Success,GBP
TXN00000068,ORD0002313,CUST00244,2022-03-05 18:31:33,817.35,Bank Transfer,Pending,GBP
TXN00000069,ORD0001660,CUST00273,2024-10-26 17:50:12,642.74,PayPal,Success,USD
TXN00000070,ORD0000653,CUST00401,2024-02-22 08:17:16,929.17,Credit Card,Success,GBP
TXN00000071,ORD0001591,CUST00150,2022-10-21 13:17:26,298.01,Debit Card,Success,USD
TXN00000072,ORD0002486,CUST00055,2022-11-23 21:26:58,717.35,Bank Transfer,Pending,GBP
TXN00000073,ORD0001881,CUST00184,2023-05-09 20:57:56,1715.95,Debit Card,Success,EUR
TXN00000074,ORD0000064,CUST00139,2022-03-09 23:24:45,80.71,Bank Transfer,Success,GBP
TXN00000075,ORD0002163,CUST00345,2024-06-02 14:27:05,306.0,Credit Card,Success,GBP
TXN00000076,ORD0000959,CUST00298,2022-01-23 01:49:46,254.61,Bank Transfer,Success,GBP
TXN00000077,ORD0002212,CUST00359,2022-08-26 05:27:40,809.14,PayPal,Success,GBP
TXN00000078,ORD0001776,CUST00090,2023-06-15 06:21:24,1993.99,Bank Transfer,Success,USD
TXN00000079,ORD0002286,CUST00360,2023-01-25 14:34:56,350.85,Debit Card,Success,USD
TXN00000080,ORD0002276,CUST00300,2022-09-30 16:11:44,295.24,PayPal,Success,USD
TXN00000081,ORD0002131,CUST00375,2023-06-28 21:18:57,1830.54,Debit Card,Success,USD
TXN00000082,ORD0002318,CUST00109,2023-12-19 17:55:45,1764.69,PayPal,Success,EUR
TXN00000083,ORD0000485,CUST00394,2022-11-08 16:44:52,69.32,Debit Card,Success,USD
TXN00000084,ORD0001936,CUST00147,2024-09-27 15:05:59,1504.65,PayPal,Success,GBP
TXN00000085,ORD0002168,CUST00429,2022-03-29 15:47:39,1312.65,Bank Transfer,Success,GBP
TXN00000086,ORD0001988,CUST00229,2023-08-31 21:09:49,1536.64,Credit Card,Success,GBP
TXN00000087,ORD0000298,CUST00137,2023-08-14 08:42:26,991.53,PayPal,Success,USD
TXN00000088,ORD0001492,CUST00424,2022-08-26 19:53:20,1982.8,Credit Card,Success,GBP
TXN00000089,ORD0000126,CUST00160,2023-03-30 07:18:04,92.47,PayPal,Success,USD
TXN00000090,ORD0001520,CUST00497,2024-02-25 09:55:58,472.57,Bank Transfer,Success,GBP
TXN00000091,ORD0002423,CUST00175,2022-04-09 21:01:15,796.11,Debit Card,Success,EUR
TXN00000092,ORD0001757,CUST00401,2022-12-16 21:23:30,902.31,Debit Card,Pending,EUR
TXN00000093,ORD0000740,CUST00481,2022-10-13 18:38:37,1843.13,PayPal,Success,GBP
TXN00000094,ORD0001487,CUST00288,2024-09-01 08:13:08,1122.21,Debit Card,Success,EUR
TXN00000095,ORD0001858,CUST00221,2022-10-29 21:29:11,95.0,Debit Card,Success,EUR
TXN00000096,ORD0000318,CUST00394,2023-06-06 18:50:08,818.69,Debit Card,Success,EUR
TXN00000097,ORD0002333,CUST00008,2024-10-19 04:28:24,835.9,PayPal,Success,GBP
TXN00000098,ORD0001862,CUST00252,2023-11-13 18:19:08,1931.15,Bank Transfer,Success,USD
TXN00000099,ORD0001545,CUST00047,2022-02-09 07:36:46,1200.4,Bank Transfer,Success,GBP
TXN00000100,ORD0000096,CUST00249,2023-11-16 08:10:02,1273.12,PayPal,Success,USD
TXN00000101,ORD0002436,CUST00416,2022-04-18 18:46:52,1427.94,Bank Transfer,Success,USD
TXN00000102,ORD0000970,CUST00486,2023-01-17 19:11:52,1541.23,PayPal,Success,USD
TXN00000103,ORD0000519,CUST00351,2024-07-23 15:30:45,1271.93,Bank Transfer,Success,GBP
TXN00000104,ORD0000092,CUST00219,2024-04-01 02:01:06,478.2,Bank Transfer,Success,EUR
TXN00000105,ORD0000357,CUST00318,2023-03-24 02:12:19,1748.72,Debit Card,Success,GBP
TXN00000106,ORD0000544,CUST00354,2024-05-15 00:59:22,1465.58,Debit Card,Success,GBP
TXN00000107,ORD0001768,CUST00303,2022-09-08 06:10:07,1485.03,PayPal,Success,USD
TXN00000108,ORD0001469,CUST00466,2022-08-11 16:58:36,1993.13,Debit Card,Success,EUR
TXN00000109,ORD0001862,CUST00223,2024-04-29 22:14:13,1606.04,Bank Transfer,Success,EUR
TXN00000110,ORD0002139,CUST00196,2023-05-09 07:15:17,1659.16,Debit Card,Success,USD
TXN00000111,ORD0002365,CUST00172,2022-03-30 02:25:07,1903.05,Credit Card,Success,GBP
TXN00000112,ORD0002290,CUST00013,2022-06-23 00:01:04,306.51,Bank Transfer,Success,GBP
TXN00000113,ORD0000766,CUST00189,2024-11-29 17:48:31,997.97,Debit Card,Success,GBP
TXN00000114,ORD0001558,CUST00108,2022-04-12 04:16:21,1163.23,Bank Transfer,Success,GBP
TXN00000115,ORD0000061,CUST00087,2023-09-29 19:04:50,661.91,PayPal,Success,GBP
TXN00000116,ORD0001240,CUST00210,2024-03-15 18:12:13,1679.61,Credit Card,Success,GBP
TXN00000117,ORD0000323,CUST00345,2024-04-09 23:10:11,1526.03,PayPal,Success,GBP
TXN00000118,ORD0002267,CUST00355,2022-01-28 03:01:24,1443.16,Credit Card,Success,EUR
TXN00000119,ORD0000024,CUST00002,2024-08-18 22:33:57,1994.31,PayPal,Failed,USD
TXN00000120,ORD0002342,CUST00274,2022-09-21 22:53:57,522.47,Bank Transfer,Success,USD
TXN00000121,ORD0001510,CUST00386,2023-05-15 16:12:52,1472.24,Credit Card,Success,GBP
TXN00000122,ORD0000571,CUST00056,2023-07-30 08:28:28,1105.05,Bank Transfer,Success,GBP
TXN00000123,ORD0000299,CUST00149,2022-03-01 16:46:30,629.41,PayPal,Success,GBP
TXN00000124,ORD0001889,CUST00172,2022-08-11 21:33:48,325.37,Bank Transfer,Failed,GBP
TXN00000125,ORD0001480,CUST00178,2022-06-11 05:40:06,1792.29,Debit Card,Success,USD
TXN00000126,ORD0001375,CUST00420,2024-11-29 01:10:20,1192.93,Debit Card,Success,GBP
TXN00000127,ORD0002091,CUST00013,2022-12-29 23:32:58,1650.74,Credit Card,Success,EUR
TXN00000128,ORD0001288,CUST00066,2022-01-10 04:01:40,1092.96,Credit Card,Success,EUR
TXN00000129,ORD0000483,CUST00394,2023-08-16 04:39:55,443.85,Credit Card,Success,GBP
TXN00000130,ORD0001887,CUST00215,2022-01-06 07:32:32,678.41,Bank Transfer,Pending,GBP
TXN00000131,ORD0001994,CUST00451,2024-05-24 03:24:40,766.17,Credit Card,Success,EUR
TXN00000132,ORD0001872,CUST00408,2022-04-01 17:57:49,1946.0,Credit Card,Success,USD
TXN00000133,ORD0001192,CUST00410,2023-08-26 00:03:49,16.24,Debit Card,Success,USD
TXN00000134,ORD0000370,CUST00021,2024-05-30 17:36:22,1971.4,Bank Transfer,Success,USD
TXN00000135,ORD0000566,CUST00410,2022-07-05 20:34:49,1961.02,Debit Card,Success,GBP
TXN00000136,ORD0002000,CUST00482,2022-12-15 18:38:25,1992.32,PayPal,Success,GBP
TXN00000137,ORD0001216,CUST00377,2024-09-03 00:13:19,955.79,Debit Card,Success,GBP
TXN00000138,ORD0001578,CUST00305,2022-02-24 16:10:22,1927.8,Debit Card,Success,GBP
TXN00000139,ORD0002467,CUST00195,2024-05-25 13:58:33,794.22,PayPal,Success,GBP
TXN00000140,ORD0000758,CUST00009,2024-04-27 12:47:28,57.46,Bank Transfer,Success,GBP
TXN00000141,ORD0000306,CUST00075,2022-04-25 20:05:13,452.57,PayPal,Success,EUR
TXN00000142,ORD0000396,CUST00148,2022-01-31 17:56:59,1890.87,Debit Card,Success,USD
TXN00000143,ORD0002220,CUST00434,2024-10-04 23:21:07,32.46,Debit Card,Success,GBP
TXN00000144,ORD0002259,CUST00130,2024-01-11 02:31:55,1094.26,PayPal,Success,GBP
TXN00000145,ORD0000593,CUST00286,2024-06-06 18:45:40,155.83,PayPal,Success,USD
TXN00000146,ORD0001149,CUST00366,2024-09-28 15:31:09,576.36,Bank Transfer,Success,GBP
TXN00000147,ORD0000377,CUST00329,2023-08-23 17:09:51,180.75,Bank Transfer,Success,USD
TXN00000148,ORD0002493,CUST00145,2023-03-15 19:11:13,1719.76,PayPal,Success,EUR
TXN00000149,ORD0002426,CUST00184,2024-12-01 01:23:34,1184.19,Credit Card,Success,USD
TXN00000150,ORD0001650,CUST00132,2024-08-14 23:58:29,1804.7,PayPal,Pending,GBP
TXN00000151,ORD0000565,CUST00296,2023-08-24 19:43:26,1378.26,Debit Card,Success,USD
TXN00000152,ORD0001785,CUST00066,2023-11-30 12:57:27,1942.2,PayPal,Success,GBP
TXN00000153,ORD0001091,CUST00383,2023-01-05 04:56:39,1022.21,Credit Card,Success,GBP
TXN00000154,ORD0000726,CUST00079,2024-11-26 19:39:19,1279.23,Credit Card,Success,GBP
TXN00000155,ORD0000667,CUST00129,2024-02-02 01:29:22,1154.74,Bank Transfer,Success,EUR
TXN00000156,ORD0000578,CUST00247,2024-08-09 15:42:01,971.1,Credit Card,Pending,GBP
TXN00000157,ORD0002471,CUST00031,2023-01-24 10:15:11,1692.69,Credit Card,Success,EUR
TXN00000158,ORD0001956,CUST00377,2023-06-21 03:59:05,1290.83,Bank Transfer,Success,GBP
TXN00000159,ORD0001370,CUST00029,2024-09-16 01:48:21,1603.62,PayPal,Success,GBP
TXN00000160,ORD0002099,CUST00098,2023-12-08 19:02:36,1573.8,Debit Card,Success,USD
TXN00000161,ORD0002407,CUST00210,2024-01-15 07:13:36,386.14,PayPal,Success,GBP
TXN00000162,ORD0000305,CUST00190,2022-08-26 21:23:43,1302.08,Credit Card,Success,GBP
TXN00000163,ORD0001841,CUST00112,2023-12-07 14:40:05,403.3,Credit Card,Success,GBP
TXN00000164,ORD0000219,CUST00148,2024-04-13 08:28:47,1168.72,Debit Card,Success,GBP
TXN00000165,ORD0001083,CUST00293,2023-07-14 10:48:41,1356.48,PayPal,Success,GBP
TXN00000166,ORD0001501,CUST00376,2022-12-14 17:21:14,1994.48,PayPal,Success,USD
TXN00000167,ORD0001092,CUST00143,2022-08-13 07:53:53,65.93,Debit Card,Success,USD
TXN00000168,ORD0000541,CUST00314,2023-03-22 15:02:48,187.03,Bank Transfer,Failed,EUR
TXN00000169,ORD0000432,CUST00177,2024-09-16 16:33:23,158.67,Credit Card,Success,USD
TXN00000170,ORD0002268,CUST00322,2022-09-28 20:21:24,799.73,Bank Transfer,Success,USD
TXN00000171,ORD0001420,CUST00295,2023-08-27 10:31:54,1644.07,Debit Card,Success,USD
TXN00000172,ORD0001203,CUST00442,2023-02-04 13:31:09,1688.89,Bank Transfer,Success,EUR
TXN00000173,ORD0001528,CUST00249,2022-09-07 01:02:16,1475.27,Debit Card,Success,GBP
TXN00000174,ORD0001992,CUST00323,2023-07-26 18:56:45,1794.27,Credit Card,Success,GBP
TXN00000175,ORD0000186,CUST00014,2022-02-02 12:35:33,649.11,Credit Card,Success,USD
TXN00000176,ORD0001307,CUST00005,2023-11-02 16:18:23,180.87,Credit Card,Success,GBP
TXN00000177,ORD0001783,CUST00115,2023-04-11 19:30:14,121.02,Bank Transfer,Success,EUR
TXN00000178,ORD0002072,CUST00203,2022-08-12 16:06:15,1705.0,PayPal,Success,USD
TXN00000179,ORD0000518,CUST00118,2022-03-08 02:33:40,1462.22,PayPal,Success,GBP
TXN00000180,ORD0000012,CUST00097,2023-12-16 11:30:37,1398.74,PayPal,Success,USD
TXN00000181,ORD0002368,CUST00149,2023-09-30 11:45:23,682.65,Bank Transfer,Success,GBP
TXN00000182,ORD0000580,CUST00231,2024-04-21 04:31:41,762.91,Bank Transfer,Success,EUR
TXN00000183,ORD0000518,CUST00237,2022-12-19 14:38:12,1916.44,Debit Card,Refunded,EUR
TXN00000184,ORD0001504,CUST00440,2023-09-17 20:15:24,132.29,Bank Transfer,Success,USD
TXN00000185,ORD0002036,CUST00172,2022-07-14 05:14:26,1548.59,PayPal,Success,GBP
TXN00000186,ORD0000001,CUST00470,2024-08-31 05:36:34,622.72,PayPal,Failed,GBP
TXN00000187,ORD0002354,CUST00109,2023-07-03 06:36:29,82.91,PayPal,Success,USD
TXN00000188,ORD0000074,CUST00404,2022-11-20 06:33:52,1486.43,Bank Transfer,Success,EUR
TXN00000189,ORD0000204,CUST00017,2023-09-23 09:02:08,665.17,Debit Card,Success,GBP
TXN00000190,ORD0000260,CUST00091,2023-10-17 05:15:41,1445.68,Debit Card,Success,GBP
TXN00000191,ORD0001636,CUST00463,2023-10-11 21:56:24,1416.77,Debit Card,Success,GBP
TXN00000192,ORD0000900,CUST00347,2023-12-17 11:43:27,1071.9,Debit Card,Refunded,USD
TXN00000193,ORD0001402,CUST00307,2023-12-04 15:24:23,1555.86,Credit Card,Success,EUR
TXN00000194,ORD0001680,CUST00358,2023-11-21 13:31:34,1164.17,Bank Transfer,Failed,GBP
TXN00000195,ORD0001127,CUST00406,2023-08-27 10:11:57,576.84,PayPal,Success,GBP
TXN00000196,ORD0000217,CUST00488,2023-12-22 01:10:19,1469.56,Credit Card,Success,USD
TXN00000197,ORD0001882,CUST00086,2023-07-19 18:30:32,1180.33,PayPal,Success,EUR
TXN00000198,ORD0000704,CUST00254,2023-06-09 18:08:47,30.39,PayPal,Failed,EUR
TXN00000199,ORD0000866,CUST00119,2023-05-22 10:34:13,1803.78,Debit Card,Success,USD
TXN00000200,ORD0000558,CUST00434,2024-10-30 14:55:09,1093.56,PayPal,Success,GBP
TXN00000201,ORD0001141,CUST00050,2023-09-12 15:26:18,1737.91,Bank Transfer,Success,GBP
TXN00000202,ORD0001926,CUST00412,2022-07-26 18:52:29,1766.06,Debit Card,Success,EUR
TXN00000203,ORD0000728,CUST00322,2024-04-03 05:28:29,892.71,PayPal,Success,EUR
TXN00000204,ORD0002061,CUST00278,2022-11-16 21:04:14,1017.78,Debit Card,Success,USD
TXN00000205,ORD0000668,CUST00122,2023-01-18 03:48:36,834.43,Bank Transfer,Success,USD
TXN00000206,ORD0002294,CUST00296,2022-12-04 00:49:45,901.63,Credit Card,Failed,EUR
TXN00000207,ORD0001344,CUST00374,2022-10-24 15:41:38,1790.82,Credit Card,Success,GBP
TXN00000208,ORD0001147,CUST00249,2024-06-01 22:59:17,1577.35,PayPal,Success,GBP
TXN00000209,ORD0000021,CUST00045,2022-10-30 07:17:09,257.42,PayPal,Success,USD
TXN00000210,ORD0000240,CUST00433,2024-10-21 05:27:14,1222.56,Credit Card,Pending,EUR
TXN00000211,ORD0000365,CUST00181,2024-08-19 09:22:44,1991.83,Credit Card,Success,USD
TXN00000212,ORD0001989,CUST00102,2023-07-19 13:05:22,1193.12,Credit Card,Success,EUR
TXN00000213,ORD0002131,CUST00365,2023-12-21 19:54:24,1572.81,Debit Card,Success,GBP
TXN00000214,ORD0002117,CUST00394,2024-05-01 14:34:58,1539.28,Bank Transfer,Success,GBP
TXN00000215,ORD0000749,CUST00235,2023-09-27 03:06:02,703.88,Debit Card,Pending,GBP
TXN00000216,ORD0000660,CUST00358,2023-08-06 06:10:37,746.84,Debit Card,Failed,EUR
TXN00000217,ORD0001073,CUST00298,2024-09-27 10:03:43,1449.53,Credit Card,Success,GBP
TXN00000218,ORD0001854,CUST00028,2023-04-22 18:01:24,1002.47,Bank Transfer,Success,GBP
TXN00000219,ORD0000985,CUST00403,2022-11-28 16:22:01,1143.29,Bank Transfer,Success,EUR
TXN00000220,ORD0000370,CUST00199,2023-09-03 05:44:51,1427.25,PayPal,Success,GBP
TXN00000221,ORD0000559,CUST00267,2022-08-08 13:13:11,1556.26,Debit Card,Success,EUR
TXN00000222,ORD0001720,CUST00199,2024-01-01 11:32:11,546.68,Debit Card,Success,USD
TXN00000223,ORD0000297,CUST00165,2022-06-18 18:46:20,297.85,PayPal,Success,GBP
TXN00000224,ORD0001596,CUST00375,2024-04-23 06:07:15,587.13,Bank Transfer,Pending,USD
TXN00000225,ORD0002222,CUST00313,2024-10-10 05:10:27,1017.54,Bank Transfer,Success,EUR
TXN00000226,ORD0001529,CUST00043,2023-12-04 15:42:17,687.57,Bank Transfer,Success,GBP
TXN00000227,ORD0000026,CUST00031,2023-04-12 12:45:04,1138.88,Credit Card,Success,EUR
TXN00000228,ORD0001973,CUST00338,2024-08-26 17:20:50,111.66,Bank Transfer,Success,GBP
TXN00000229,ORD0000270,CUST00045,2023-10-03 04:52:01,1021.95,PayPal,Success,GBP
TXN00000230,ORD0000242,CUST00007,2022-03-21 01:09:24,739.13,PayPal,Success,GBP
TXN00000231,ORD0001440,CUST00133,2022-11-06 18:32:03,1071.66,Credit Card,Success,EUR
TXN00000232,ORD0002304,CUST00241,2022-12-04 08:59:16,847.95,Debit Card,Success,USD
TXN00000233,ORD0000242,CUST00156,2023-06-09 13:44:25,572.03,Debit Card,Success,GBP
TXN00000234,ORD0000375,CUST00450,2024-05-07 00:36:30,1808.7,PayPal,Pending,EUR
TXN00000235,ORD0000476,CUST00200,2022-09-01 10:55:14,373.61,Credit Card,Success,GBP
TXN00000236,ORD0002353,CUST00259,2024-10-21 17:35:20,1364.32,Debit Card,Pending,GBP
TXN00000237,ORD0001523,CUST00003,2023-08-20 23:23:17,1849.67,Debit Card,Pending,GBP
TXN00000238,ORD0000005,CUST00155,2024-03-14 21:49:49,1079.65,Bank Transfer,Pending,USD
TXN00000239,ORD0000730,CUST00060,2023-11-02 18:04:03,1753.43,Bank Transfer,Failed,USD
TXN00000240,ORD0001900,CUST00106,2022-10-08 02:38:20,254.08,PayPal,Success,EUR
TXN00000241,ORD0000448,CUST00492,2023-11-20 03:30:15,990.11,PayPal,Pending,GBP
TXN00000242,ORD0000353,CUST00063,2022-02-07 00:38:52,916.77,Bank Transfer,Success,GBP
TXN00000243,ORD0001291,CUST00056,2024-12-14 01:03:44,21.2,PayPal,Success,EUR
TXN00000244,ORD0000762,CUST00095,2022-11-17 17:08:10,889.3,Debit Card,Success,GBP
TXN00000245,ORD0001751,CUST00023,2023-08-23 14:01:46,741.21,Credit Card,Success,EUR
TXN00000246,ORD0000332,CUST00180,2024-05-31 09:56:26,1341.25,Bank Transfer,Success,GBP
TXN00000247,ORD0000179,CUST00142,2024-11-02 03:19:17,1876.97,Bank Transfer,Success,GBP
TXN00000248,ORD0001486,CUST00436,2022-09-25 17:19:49,176.15,PayPal,Success,GBP
TXN00000249,ORD0000932,CUST00051,2023-03-01 14:06:26,658.32,PayPal,Success,GBP
TXN00000250,ORD0001805,CUST00244,2024-11-23 07:43:54,890.91,Bank Transfer,Success,GBP
TXN00000251,ORD0000219,CUST00354,2024-05-25 03:43:56,913.09,PayPal,Success,GBP
TXN00000252,ORD0002333,CUST00432,2022-08-31 02:43:15,1550.75,Debit Card,Success,GBP
TXN00000253,ORD0000558,CUST00058,2024-09-23 03:05:26,889.57,PayPal,Success,GBP
TXN00000254,ORD0000818,CUST00234,2023-09-17 07:02:28,59.19,Bank Transfer,Success,GBP
TXN00000255,ORD0000180,CUST00421,2024-06-12 08:07:53,1421.66,Debit Card,Success,GBP
TXN00000256,ORD0000135,CUST00426,2022-11-04 06:52:55,1770.24,PayPal,Success,GBP
TXN00000257,ORD0001894,CUST00472,2022-08-23 01:52:44,1030.24,PayPal,Success,GBP
TXN00000258,ORD0000291,CUST00288,2023-10-01 21:59:33,1164.31,Credit Card,Success,USD
TXN00000259,ORD0001763,CUST00467,2023-05-07 15:37:41,330.06,PayPal,Success,USD
TXN00000260,ORD0002432,CUST00158,2023-12-29 21:55:11,445.19,PayPal,Success,USD
TXN00000261,ORD0001286,CUST00358,2023-01-17 16:18:11,474.16,Credit Card,Refunded,GBP
TXN00000262,ORD0000061,CUST00017,2022-07-22 19:26:46,864.33,Debit Card,Success,GBP
TXN00000263,ORD0000019,CUST00236,2024-01-27 00:55:53,1856.65,PayPal,Success,GBP
TXN00000264,ORD0001982,CUST00106,2023-05-07 05:20:05,1045.96,Bank Transfer,Success,EUR
TXN00000265,ORD0001051,CUST00226,2024-08-06 03:47:49,388.23,Bank Transfer,Success,GBP
TXN00000266,ORD0000355,CUST00360,2024-08-09 05:07:36,535.85,PayPal,Refunded,GBP
TXN00000267,ORD0002066,CUST00457,2024-04-04 05:45:30,771.11,PayPal,Success,GBP
TXN00000268,ORD0002352,CUST00286,2024-09-02 16:43:44,1248.4,Credit Card,Success,EUR
TXN00000269,ORD0001280,CUST00478,2022-02-24 20:08:24,882.87,PayPal,Success,USD
TXN00000270,ORD0002302,CUST00233,2024-11-16 10:10:06,787.93,PayPal,Success,GBP
TXN00000271,ORD0001341,CUST00066,2022-05-31 18:49:51,1131.63,Debit Card,Success,GBP
TXN00000272,ORD0001201,CUST00058,2022-04-12 12:45:42,487.46,Bank Transfer,Success,EUR
TXN00000273,ORD0000930,CUST00479,2022-05-14 04:59:38,162.41,Credit Card,Success,GBP
TXN00000274,ORD0000577,CUST00224,2022-02-03 08:18:47,53.71,PayPal,Failed,USD
